Tempo,Pot. Ativa,FP,FR,FNL
432.814,1.86,0.25,0.91,-0.03
432.817,1.85,0.25,0.91,-0.03
432.821,1.85,0.25,0.91,-0.03
432.825,1.85,0.25,0.91,-0.03
432.828,1.85,0.25,0.91,-0.03
432.832,1.85,0.25,0.91,-0.03
432.836,1.85,0.25,0.91,-0.03
432.84,1.85,0.25,0.91,-0.03
432.843,1.85,0.25,0.91,-0.03
432.847,1.85,0.25,0.91,-0.03
432.851,1.85,0.25,0.91,-0.03
432.854,1.85,0.25,0.91,-0.03
432.858,1.85,0.25,0.91,-0.03
432.862,1.85,0.25,0.91,-0.03
432.865,1.85,0.25,0.91,-0.03
432.869,1.85,0.25,0.91,-0.03
432.873,1.85,0.25,0.91,-0.03
432.876,1.85,0.25,0.91,-0.03
432.88,1.85,0.25,0.91,-0.03
432.884,1.85,0.25,0.91,-0.03
432.888,1.85,0.25,0.91,-0.03
432.891,1.85,0.25,0.91,-0.03
432.895,1.85,0.25,0.91,-0.03
432.899,1.85,0.25,0.91,-0.03
432.902,1.85,0.25,0.91,-0.03
432.906,1.85,0.25,0.91,-0.03
432.91,1.85,0.25,0.91,-0.03
432.913,1.86,0.25,0.91,-0.03
432.917,1.86,0.25,0.91,-0.03
432.921,1.86,0.25,0.91,-0.03
432.925,1.86,0.25,0.91,-0.03
432.928,1.86,0.25,0.91,-0.03
432.932,1.86,0.25,0.91,-0.03
432.936,1.86,0.25,0.91,-0.03
432.939,1.86,0.25,0.91,-0.03
432.943,1.86,0.25,0.91,-0.03
432.947,1.86,0.25,0.91,-0.03
432.95,1.86,0.25,0.91,-0.03
432.954,1.86,0.25,0.91,-0.03
432.958,1.86,0.25,0.91,-0.03
432.961,1.86,0.25,0.91,-0.03
432.965,1.86,0.25,0.91,-0.03
432.969,1.86,0.25,0.91,-0.03
432.973,1.86,0.25,0.91,-0.03
432.976,1.86,0.25,0.91,-0.03
432.98,1.86,0.25,0.91,-0.03
432.984,1.86,0.25,0.91,-0.03
432.987,1.86,0.25,0.91,-0.03
432.991,1.85,0.25,0.91,-0.03
432.995,1.85,0.25,0.91,-0.03
432.998,1.85,0.25,0.91,-0.03
433.002,1.85,0.25,0.91,-0.03
433.006,1.85,0.25,0.91,-0.03
433.01,1.85,0.25,0.91,-0.03
433.013,1.85,0.25,0.91,-0.03
433.017,1.85,0.25,0.91,-0.03
433.021,1.85,0.25,0.91,-0.03
433.024,1.85,0.25,0.91,-0.03
433.028,1.85,0.25,0.91,-0.03
433.032,1.85,0.25,0.91,-0.03
433.035,1.85,0.25,0.91,-0.03
433.039,1.85,0.25,0.91,-0.03
433.043,1.85,0.25,0.91,-0.03
433.046,1.85,0.25,0.91,-0.03
433.05,1.85,0.25,0.91,-0.03
433.054,1.85,0.25,0.91,-0.03
433.058,1.85,0.25,0.91,-0.03
433.061,1.85,0.25,0.91,-0.03
433.065,1.85,0.25,0.91,-0.03
433.069,1.85,0.25,0.91,-0.03
433.072,1.85,0.25,0.91,-0.03
433.076,1.86,0.25,0.91,-0.03
433.08,1.86,0.25,0.91,-0.03
433.083,1.86,0.25,0.91,-0.03
433.087,1.86,0.25,0.91,-0.03
433.091,1.86,0.25,0.91,-0.03
433.095,1.86,0.25,0.91,-0.03
433.098,1.86,0.25,0.91,-0.03
433.102,1.86,0.25,0.91,-0.03
433.106,1.86,0.25,0.91,-0.03
433.109,1.86,0.25,0.91,-0.03
433.113,1.86,0.25,0.91,-0.03
433.117,1.86,0.25,0.91,-0.03
